src_id,dst_id
0,7183
0,8256
1,4107
2,1424
3,1424
4,1424
5,1424
6,1424
7,1424
8,1424
9,1424
10,1424
11,1424
12,1424
13,1424
14,1424
15,1424
16,1424
17,1424
18,1424
19,1424
20,1424
21,1424
22,1424
23,1424
24,1424
25,1424
26,1424
27,1424
28,1424
29,1424
30,1424
31,1424
32,1424
33,1424
34,1424
35,1424
36,1424
37,1424
38,1424
39,12469
40,4025
41,4025
42,1125
40,1155
41,1155
40,8094
43,8094
44,8094
41,8094
45,8094
46,111
47,111
48,111
49,111
50,111
51,111
52,111
53,111
54,111
55,111
56,111
57,111
58,111
59,111
60,111
61,111
62,111
63,111
64,111
65,111
66,111
67,111
68,111
69,111
70,111
71,111
72,111
73,111
74,111
75,111
76,111
77,111
78,111
79,111
80,111
81,111
82,111
83,111
84,111
85,111
86,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
42,13991
94,6002
95,748
96,5638
97,5638
98,5638
40,17700
41,17700
99,12283
100,12283
101,12283
102,4003
103,4003
104,4003
105,4003
106,4003
107,4003
108,4003
109,4003
110,4003
111,4003
112,4003
113,4003
114,4315
115,4315
116,4315
117,4315
118,4315
119,4315
40,4315
120,4315
121,4315
122,4315
123,4315
124,4315
125,4315
126,4315
127,4315
128,4315
129,4315
130,4315
131,4315
132,4315
133,4315
134,4315
47,4315
135,4315
136,4315
137,4315
138,4315
139,4315
140,4315
141,4315
142,4315
143,4315
144,4315
145,4315
146,4315
147,4315
148,4315
149,4315
150,4315
151,4315
152,4315
153,4315
154,4315
155,4315
156,4315
157,4315
158,4315
7,4315
48,4315
159,4315
160,4315
161,4315
162,4315
163,4315
164,4315
165,4315
166,4315
167,4315
168,4315
169,4315
170,4315
171,4315
172,4315
173,4315
174,4315
175,4315
176,4315
177,4315
178,4315
179,4315
180,4315
181,4315
182,4315
183,4315
184,4315
185,4315
186,4315
187,4315
188,4315
49,4315
189,4315
190,4315
191,4315
192,4315
193,4315
194,4315
195,4315
11,4315
196,4315
197,4315
12,4315
198,4315
199,4315
200,4315
201,4315
202,4315
203,4315
204,4315
15,4315
205,4315
206,4315
207,4315
208,4315
209,4315
210,4315
211,4315
212,4315
213,4315
214,4315
215,4315
216,4315
217,4315
218,4315
219,4315
220,4315
221,4315
