src_id,dst_id
0,17045
0,17059
0,17067
0,17170
0,17172
0,17207
0,17213
0,17214
0,17224
0,17225
0,17226
0,17227
0,17231
0,17235
0,17236
0,17245
0,17254
0,17259
0,17266
0,18987
0,18965
0,18938
0,18948
0,18949
0,18939
0,18998
0,18942
0,19018
0,19019
0,19022
0,19023
0,18943
0,19029
0,18979
0,18952
0,19033
0,17496
0,17500
0,17514
0,17533
0,17543
0,17606
0,17628
0,17643
0,17645
0,17662
0,17665
0,17685
0,18944
0,19037
0,18955
0,19255
0,18982
0,18945
0,19057
0,18971
0,18972
0,19074
0,18251
0,18252
0,18316
0,18318
0,18362
0,18369
0,18380
0,18385
0,18386
0,18394
0,18396
0,18399
1,17218
1,17229
1,17232
1,18988
1,18940
1,19102
1,17504
1,17604
1,17658
1,17807
1,19034
1,18973
1,18355
1,18356
1,18400
2,17270
2,18941
2,19095
2,19014
2,19025
2,17503
2,17632
2,17651
2,17749
2,18986
2,18974
2,18310
2,18312
2,18378
3,17059
3,17070
3,17170
3,17230
3,17259
3,18938
3,18939
3,18942
3,19019
3,18943
3,19026
3,18952
3,19031
3,19033
3,17496
3,17548
3,17628
3,17651
3,17665
3,18944
3,18955
3,18984
3,19041
3,18977
3,19356
3,18971
3,18252
3,18340
4,18467
